language,task,duration,energy
C,binary-trees,497,97736782.0
C,binary-trees,532,106438771.0
C,binary-trees,506,100151667.0
C,binary-trees,505,102313143.0
C,binary-trees,495,98782902.0
C,binary-trees,540,100937210.0
C,binary-trees,517,105287920.0
C,binary-trees,527,106809281.0
C,binary-trees,502,99263818.0
C,binary-trees,492,100465677.0
C,binary-trees,511,102164500.0
C,fannkuch-redux,2105,406519154.0
C,fannkuch-redux,1828,377512961.0
C,fannkuch-redux,2084,418402282.0
C,fannkuch-redux,1983,403797355.0
C,fannkuch-redux,2119,403687757.0
C,fannkuch-redux,1896,389207426.0
C,fannkuch-redux,2106,402681201.0
C,fannkuch-redux,1865,384934713.0
C,fannkuch-redux,2106,415047277.0
C,fannkuch-redux,1854,381182132.0
C,fannkuch-redux,2101,407758027.0
C,fasta,774,126307234.0
C,fasta,760,128735515.0
C,fasta,744,127205031.0
C,fasta,782,127555157.0
C,fasta,787,128429317.0
C,fasta,762,124346277.0
C,fasta,806,128961762.0
C,fasta,772,128516105.0
C,fasta,804,129492861.0
C,fasta,728,120401000.0
C,fasta,743,122747910.0
C,k-nucleotide,1822,316817859.0
C,k-nucleotide,1764,319779087.0
C,k-nucleotide,1722,315279626.0
C,k-nucleotide,1742,322680716.0
C,k-nucleotide,1740,323853278.0
C,k-nucleotide,1757,324038220.0
C,k-nucleotide,1759,323822944.0
C,k-nucleotide,1842,318779429.0
C,k-nucleotide,1794,326407345.0
C,k-nucleotide,1736,305650316.0
C,k-nucleotide,1784,321506154.0
C,reverse-complement,450,83112890.0
C,reverse-complement,515,95163001.0
C,reverse-complement,452,82784797.0
C,reverse-complement,500,95583024.0
C,reverse-complement,533,98669823.0
C,reverse-complement,495,94701354.0
C,reverse-complement,529,96560421.0
C,reverse-complement,455,84245858.0
C,reverse-complement,490,93187336.0
C,reverse-complement,435,81863869.0
C,reverse-complement,537,99701052.0
CSharp,binary-trees,14928,2595970273.0
CSharp,binary-trees,16029,2783763343.0
CSharp,binary-trees,14008,2387842854.0
CSharp,binary-trees,14464,2478047310.0
CSharp,binary-trees,15286,2648664112.0
CSharp,binary-trees,14074,2424582971.0
CSharp,binary-trees,15289,2629707831.0
CSharp,binary-trees,14188,2462364191.0
CSharp,binary-trees,15073,2605441112.0
CSharp,binary-trees,16050,2774934254.0
