"","language","duration","energy"
"1","Rust",761.777777777778,1
"2","C",1059.4,1.31105597703872
"3","Java",1595.42857142857,2.09507294337515
"4","CSharp",2952.125,3.40117417988418
"5","FSharp",3480.5,3.78819058818921
"6","Lisp",3657.04761904762,4.09701517405983
"7","Go",3726.95833333333,5.43337305030452
"8","Fortran",6167.16666666667,6.42978828115586
"9","Racket",8494.75,8.97295304484032
"10","JavaScript",8922.75,9.6643685412964
"11","Erlang",20244.7083333333,22.7477804903414
"12","TypeScript",22792.2083333333,23.767554626217
"13","PHP",21122.625,23.8494684225809
"14","JRuby",97834.9166666667,62.9901254221209
"15","Python",56100.6666666667,62.9942595155288
"16","Perl",75328.5,85.4518884120206
"17","Lua",147890.041666667,98.7728778006297
