language,task,duration,energy
C,binary-trees,538,101216338.0
C,binary-trees,524,96690664.0
C,binary-trees,527,99326603.0
C,binary-trees,548,107549049.0
C,binary-trees,554,100571949.0
C,binary-trees,578,103396096.0
C,binary-trees,533,104841166.0
C,binary-trees,515,95853335.0
C,binary-trees,553,100402264.0
C,binary-trees,548,108025801.0
C,binary-trees,545,107452130.0
C,fannkuch-redux,2113,393271929.0
C,fannkuch-redux,1866,373943734.0
C,fannkuch-redux,1893,376486651.0
C,fannkuch-redux,2032,393663403.0
C,fannkuch-redux,2109,406936398.0
C,fannkuch-redux,1967,388914794.0
C,fannkuch-redux,2100,400479245.0
C,fannkuch-redux,2103,393246449.0
C,fannkuch-redux,1910,382006063.0
C,fannkuch-redux,1920,378835496.0
C,fannkuch-redux,1909,378166372.0
C,fasta,767,123747934.0
C,fasta,752,124639306.0
C,fasta,780,126667201.0
C,fasta,780,128091871.0
C,fasta,772,127223904.0
C,fasta,731,118026688.0
C,fasta,725,117299233.0
C,fasta,748,124246856.0
C,fasta,730,122047842.0
C,fasta,743,120681243.0
C,fasta,787,127070106.0
C,k-nucleotide,1758,315452557.0
C,k-nucleotide,1685,287534796.0
C,k-nucleotide,1674,288800525.0
C,k-nucleotide,1688,302291558.0
C,k-nucleotide,1676,307030571.0
C,k-nucleotide,1732,308656951.0
C,k-nucleotide,1691,308332735.0
C,k-nucleotide,1677,296727681.0
C,k-nucleotide,1687,293211201.0
C,k-nucleotide,1846,337528719.0
C,k-nucleotide,1823,342151235.0
C,reverse-complement,447,80480641.0
C,reverse-complement,549,101932564.0
C,reverse-complement,558,102750364.0
C,reverse-complement,590,105217276.0
C,reverse-complement,445,80688698.0
C,reverse-complement,478,88736391.0
C,reverse-complement,579,105459985.0
C,reverse-complement,589,103706611.0
C,reverse-complement,442,79843680.0
C,reverse-complement,455,82432427.0
C,reverse-complement,596,105888383.0
CSharp,binary-trees,15064,2326147312.0
CSharp,binary-trees,14635,2481722733.0
CSharp,binary-trees,14767,2337693027.0
CSharp,binary-trees,12535,2017922377.0
CSharp,binary-trees,15221,2342943060.0
CSharp,binary-trees,11978,1935866959.0
CSharp,binary-trees,14861,2483918649.0
CSharp,binary-trees,15723,2679600181.0
CSharp,binary-trees,13531,2131360862.0
CSharp,binary-trees,13418,2215749230.0
CSharp,binary-trees,15023,2430686264.0
CSharp,fannkuch-redux,661,239056287.0
CSharp,fannkuch-redux,767,255652749.0
CSharp,fannkuch-redux,650,236124844.0
CSharp,fannkuch-redux,751,271759917.0
CSharp,fannkuch-redux,663,238899770.0
CSharp,fannkuch-redux,839,286672812.0
CSharp,fannkuch-redux,649,236438212.0
CSharp,fannkuch-redux,653,237487932.0
CSharp,fannkuch-redux,684,242551407.0
CSharp,fannkuch-redux,675,242103141.0
CSharp,fannkuch-redux,666,237018290.0
CSharp,fasta,1244,216988671.0
CSharp,fasta,1265,230369770.0
CSharp,fasta,1250,215664125.0
CSharp,fasta,1392,260465840.0
CSharp,fasta,1370,262223758.0
CSharp,fasta,1500,295443765.0
CSharp,fasta,1264,226630858.0
CSharp,fasta,1104,208267901.0
CSharp,fasta,1223,209787186.0
CSharp,fasta,1275,218159753.0
CSharp,fasta,1237,225154799.0
CSharp,k-nucleotide,2672,452641021.0
CSharp,k-nucleotide,2901,477587468.0
CSharp,k-nucleotide,2974,511227667.0
CSharp,k-nucleotide,2934,506482291.0
CSharp,k-nucleotide,3127,579220077.0
CSharp,k-nucleotide,2867,509302566.0
CSharp,k-nucleotide,2895,502071662.0
CSharp,k-nucleotide,2940,526732068.0
CSharp,k-nucleotide,2829,472868079.0
CSharp,k-nucleotide,3018,514316191.0
CSharp,k-nucleotide,3082,568900709.0
CSharp,mandelbrot,208,55363226.0
CSharp,mandelbrot,197,53187893.0
CSharp,mandelbrot,205,54006073.0
CSharp,mandelbrot,215,55051946.0
CSharp,mandelbrot,213,55705813.0
CSharp,mandelbrot,208,54606032.0
CSharp,mandelbrot,233,59925429.0
