"","language","correlation"
"1","C",0.961904761904762
"2","CSharp",0.833333333333333
"3","Erlang",0.852995960152737
"4","FSharp",0.891304347826087
"5","Fortran",0.800004299954044
"6","Go",0.898550724637681
"7","JRuby",0.72463768115942
"8","Java",0.704761904761905
"9","JavaScript",0.940110441189613
"10","Lisp",0.914285714285714
"11","Lua",0.971014492753623
"12","PHP",0.869565217391304
"13","Perl",0.804347826086957
"14","Python",0.847826086956522
"15","Racket",0.949275362318841
"16","Rust",0.629511580291707
"17","TypeScript",0.949275362318841
