language,task,duration,energy
C,binary-trees,553,60859769.0
C,binary-trees,558,60879300.0
C,binary-trees,557,60337736.0
C,binary-trees,540,60815335.0
C,binary-trees,559,60139495.0
C,binary-trees,555,59541901.0
C,binary-trees,581,60277494.0
C,binary-trees,572,60447844.0
C,binary-trees,552,60324735.0
C,binary-trees,579,60303556.0
C,binary-trees,536,59321564.0
C,fannkuch-redux,2692,438029030.0
C,fannkuch-redux,2722,439597141.0
C,fannkuch-redux,2740,440327914.0
C,fannkuch-redux,2725,443551844.0
C,fannkuch-redux,2748,438014626.0
C,fannkuch-redux,2727,438660621.0
C,fannkuch-redux,2735,441126008.0
C,fannkuch-redux,2732,440595247.0
C,fannkuch-redux,2697,438414283.0
C,fannkuch-redux,2723,440244844.0
C,fannkuch-redux,2756,438573279.0
C,fasta,615,52987902.0
C,fasta,614,51734242.0
C,fasta,615,52084706.0
C,fasta,626,49563289.0
C,fasta,626,52099171.0
C,fasta,622,50437737.0
C,fasta,618,50594353.0
C,fasta,620,51443716.0
C,fasta,619,51725941.0
C,fasta,620,52934679.0
C,fasta,617,49500483.0
C,k-nucleotide,2061,168668758.0
C,k-nucleotide,2013,169926444.0
C,k-nucleotide,2039,171213003.0
C,k-nucleotide,2040,170183830.0
C,k-nucleotide,1828,167679319.0
C,k-nucleotide,1984,169812064.0
C,k-nucleotide,2058,169996696.0
C,k-nucleotide,2013,166416322.0
C,k-nucleotide,2021,166748901.0
C,k-nucleotide,2037,167320921.0
C,k-nucleotide,2051,171263050.0
C,reverse-complement,279,15625814.0
C,reverse-complement,274,15629659.0
C,reverse-complement,280,15700521.0
C,reverse-complement,275,16170430.0
C,reverse-complement,278,15217795.0
C,reverse-complement,277,15442221.0
C,reverse-complement,292,15496178.0
C,reverse-complement,271,15569785.0
C,reverse-complement,279,16195881.0
C,reverse-complement,276,15801717.0
C,reverse-complement,277,15619588.0
CSharp,binary-trees,9616,459728742.0
CSharp,binary-trees,9137,477275938.0
CSharp,binary-trees,9363,474777837.0
CSharp,binary-trees,9267,470067156.0
CSharp,binary-trees,9363,478300411.0
CSharp,binary-trees,9335,478911371.0
CSharp,binary-trees,9342,481776476.0
CSharp,binary-trees,9310,469428608.0
CSharp,binary-trees,9333,475690311.0
CSharp,binary-trees,9313,476211916.0
CSharp,binary-trees,9277,475362918.0
CSharp,fannkuch-redux,5765,841924420.0
CSharp,fannkuch-redux,5982,869359042.0
CSharp,fannkuch-redux,6002,835967709.0
CSharp,fannkuch-redux,5869,864836104.0
CSharp,fannkuch-redux,5893,943133878.0
CSharp,fannkuch-redux,5791,859136840.0
CSharp,fannkuch-redux,5807,842443338.0
CSharp,fannkuch-redux,5793,852789991.0
CSharp,fannkuch-redux,5987,875010516.0
CSharp,fannkuch-redux,5799,867151222.0
CSharp,fannkuch-redux,5978,829031203.0
CSharp,fasta,996,140108650.0
CSharp,fasta,991,129236790.0
CSharp,fasta,1015,144199948.0
CSharp,fasta,1083,149388838.0
CSharp,fasta,979,136691604.0
CSharp,fasta,1015,141242131.0
CSharp,fasta,1015,145304193.0
CSharp,fasta,1014,140613409.0
CSharp,fasta,998,140316230.0
CSharp,fasta,996,142337892.0
CSharp,fasta,985,132837123.0
CSharp,k-nucleotide,2423,197751936.0
CSharp,k-nucleotide,2402,196448349.0
CSharp,k-nucleotide,2288,198923686.0
CSharp,k-nucleotide,2386,200659215.0
CSharp,k-nucleotide,2440,196098130.0
CSharp,k-nucleotide,2415,194888844.0
CSharp,k-nucleotide,2382,196968917.0
CSharp,k-nucleotide,2374,197733075.0
CSharp,k-nucleotide,2297,196705552.0
CSharp,k-nucleotide,2443,188043342.0
CSharp,k-nucleotide,2255,189311955.0
CSharp,mandelbrot,829,107323090.0
CSharp,mandelbrot,829,108291227.0
CSharp,mandelbrot,829,108327054.0
CSharp,mandelbrot,833,109098049.0
CSharp,mandelbrot,833,109162807.0
CSharp,mandelbrot,835,107735992.0
CSharp,mandelbrot,831,109834314.0
CSharp,mandelbrot,830,108391080.0
CSharp,mandelbrot,833,108458097.0
CSharp,mandelbrot,838,121639276.0
CSharp,mandelbrot,827,107288421.0
