"","language","correlation"
"1","C",0.752380952380952
"2","CSharp",0.671507457992581
"3","Erlang",0.72463768115942
"4","FSharp",0.61343113730133
"5","Fortran",0.764705882352941
"6","Go",0.686026538165393
"7","JRuby",0.695652173913043
"8","Java",0.660294639527697
"9","JavaScript",0.652173913043478
"10","Lisp",0.733333333333333
"11","Lua",0.77536231884058
"12","PHP",0.606171597214924
"13","Perl",0.688405797101449
"14","Python",0.72463768115942
"15","Racket",0.794919639461487
"16","Rust",0.638171705735182
"17","TypeScript",0.876811594202899
