language,task,duration,energy
C,binary-trees,289,27522000.0
C,binary-trees,299,28023500.361
C,binary-trees,299,27678462.098
C,binary-trees,298,27022000.0
C,binary-trees,296,27028262.472
C,binary-trees,287,27991000.0
C,binary-trees,295,27295000.0
C,binary-trees,295,26882000.0
C,binary-trees,303,27756352.033
C,binary-trees,291,27476000.0
C,binary-trees,296,27153000.0
C,fannkuch-redux,3451,228165660.276
C,fannkuch-redux,3432,233724000.0
C,fannkuch-redux,3442,229452000.0
C,fannkuch-redux,3441,222242238.563
C,fannkuch-redux,3455,223280834.797
C,fannkuch-redux,3451,231928958.6
C,fannkuch-redux,3418,229801000.0
C,fannkuch-redux,3453,223845000.0
C,fannkuch-redux,3433,231209000.0
C,fannkuch-redux,3420,223811000.0
C,fannkuch-redux,3453,230465000.0
C,fasta,711,23919000.0
C,fasta,710,24329000.0
C,fasta,711,23573255.559
C,fasta,713,23397330.776
C,fasta,710,23636000.0
C,fasta,708,23496000.0
C,fasta,712,22895000.0
C,fasta,711,24541000.0
C,fasta,710,23552000.0
C,fasta,716,24231000.0
C,fasta,713,24038000.0
C,k-nucleotide,15,253000.0
C,k-nucleotide,14,208000.0
C,k-nucleotide,14,212000.0
C,k-nucleotide,14,234000.0
C,k-nucleotide,16,259000.0
C,k-nucleotide,13,307000.0
C,k-nucleotide,13,196000.0
C,k-nucleotide,14,215000.0
C,k-nucleotide,14,217000.0
C,k-nucleotide,14,220000.0
C,k-nucleotide,15,216000.0
C,reverse-complement,12,199000.0
C,reverse-complement,15,286000.0
C,reverse-complement,13,201000.0
C,reverse-complement,15,222000.0
C,reverse-complement,15,243000.0
C,reverse-complement,14,219000.0
C,reverse-complement,14,209000.0
C,reverse-complement,15,232000.0
C,reverse-complement,14,211000.0
C,reverse-complement,13,227000.0
C,reverse-complement,13,212000.0
CSharp,binary-trees,8007,236878871.624
CSharp,binary-trees,7771,231774231.957
CSharp,binary-trees,7561,223002000.0
CSharp,binary-trees,7939,232609639.197
CSharp,binary-trees,7813,226062197.545
CSharp,binary-trees,7807,228817000.0
CSharp,binary-trees,7854,228103166.589
CSharp,binary-trees,7959,231008000.0
CSharp,binary-trees,7970,229885000.0
CSharp,binary-trees,7687,226011295.651
CSharp,binary-trees,7842,228219000.0
CSharp,fannkuch-redux,3411,364923459.488
CSharp,fannkuch-redux,3395,347948801.868
CSharp,fannkuch-redux,3480,360100332.799
CSharp,fannkuch-redux,3353,353950000.0
CSharp,fannkuch-redux,3420,355281654.739
CSharp,fannkuch-redux,3367,350987265.694
CSharp,fannkuch-redux,3410,360495155.513
CSharp,fannkuch-redux,3400,355788319.653
CSharp,fannkuch-redux,3363,356976000.0
CSharp,fannkuch-redux,3383,347378000.0
CSharp,fannkuch-redux,3370,351312000.0
CSharp,fasta,1018,72560000.0
CSharp,fasta,1023,73308000.0
CSharp,fasta,1035,71341259.936
CSharp,fasta,1037,73371000.0
CSharp,fasta,1028,74693385.623
CSharp,fasta,1049,78352000.0
CSharp,fasta,1038,71303000.0
CSharp,fasta,1035,72585000.0
CSharp,fasta,1012,71835000.0
CSharp,fasta,1030,75639000.0
CSharp,fasta,1035,77262000.0
CSharp,k-nucleotide,14,211000.0
CSharp,k-nucleotide,15,232000.0
CSharp,k-nucleotide,13,211000.0
CSharp,k-nucleotide,13,303000.0
CSharp,k-nucleotide,19,312000.0
CSharp,k-nucleotide,14,227000.0
CSharp,k-nucleotide,15,220000.0
CSharp,k-nucleotide,13,201000.0
CSharp,k-nucleotide,15,215000.0
CSharp,k-nucleotide,15,272000.0
CSharp,k-nucleotide,15,312000.0
CSharp,mandelbrot,825,60635000.0
CSharp,mandelbrot,826,60328000.0
CSharp,mandelbrot,831,60226000.0
CSharp,mandelbrot,823,60983000.0
CSharp,mandelbrot,817,61354000.0
CSharp,mandelbrot,836,67572000.0
CSharp,mandelbrot,823,62552000.0
CSharp,mandelbrot,825,61484000.0
CSharp,mandelbrot,817,59497000.0
CSharp,mandelbrot,829,61035331.905
CSharp,mandelbrot,817,59430272.866
CSharp,n-body,2519,60067000.0
CSharp,n-body,2524,63582993.935
CSharp,n-body,2522,61439360.537
CSharp,n-body,2524,61746489.321
CSharp,n-body,2522,61721000.0
CSharp,n-body,2522,60198263.519
CSharp,n-body,2525,60728037.008
CSharp,n-body,2525,63036353.715
CSharp,n-body,2527,63140000.0
CSharp,n-body,2528,62972000.0
CSharp,n-body,2526,62413000.0
