"","language","correlation"
"1","C",0.733333333333333
"2","CSharp",0.642469297646955
"3","Erlang",0.652173913043478
"4","FSharp",0.468240335573205
"5","Fortran",0.703962603233655
"6","Go",0.907117368750046
"7","JRuby",0.710144927536232
"8","Java",0.631586176939536
"9","JavaScript",0.695652173913043
"10","Lisp",0.638171705735182
"11","Lua",0.768115942028985
"12","PHP",0.852995960152737
"13","Perl",0.565217391304348
"14","Python",0.717391304347826
"15","Racket",0.724965286671724
"16","Rust",0.550822632755244
"17","TypeScript",0.831217339893519
