"","language","duration","energy"
"1","C",1170.6,1
"2","Java",1196.95238095238,1.08260379426821
"3","Rust",1114.94444444444,1.34736594523005
"4","CSharp",2208.20833333333,1.59197622785811
"5","FSharp",3395.16666666667,1.92286000779361
"6","Go",2076.875,2.03737231413897
"7","Lisp",3043.27777777778,2.17216183438297
"8","Fortran",6106.94444444444,2.45740987780043
"9","Racket",6752.375,3.1096229796403
"10","JavaScript",6903.375,3.41313554540713
"11","TypeScript",16765.4166666667,5.95640111762523
"12","JRuby",19801.625,12.0748651789954
"13","Erlang",23733.2083333333,18.8290158532514
"14","PHP",57126.4583333333,27.6019613688474
"15","Lua",96031.3333333333,37.2872315454919
"16","Python",42328.5833333333,38.6617021905477
"17","Perl",57458.2916666667,52.3396561087393
