language,task,duration,energy
C,binary-trees,242,30836416.728
C,binary-trees,604,31943844.82
C,binary-trees,244,30730743.258
C,binary-trees,260,30590884.321
C,binary-trees,244,31063051.229
C,binary-trees,246,31135984.876
C,binary-trees,243,30783860.036
C,binary-trees,245,30678841.317
C,binary-trees,242,30886092.913
C,binary-trees,244,30914294.4
C,binary-trees,249,30752067.528
C,fannkuch-redux,1733,266299248.749
C,fannkuch-redux,1490,271160141.442
C,fannkuch-redux,1489,275760063.054
C,fannkuch-redux,1495,280262356.551
C,fannkuch-redux,1488,273932844.546
C,fannkuch-redux,1490,271606104.734
C,fannkuch-redux,1488,272863094.072
C,fannkuch-redux,1497,279631862.882
C,fannkuch-redux,1490,281096213.62
C,fannkuch-redux,1491,273783378.527
C,fannkuch-redux,1490,273256297.644
C,fasta,639,20147589.299
C,fasta,624,19783376.916
C,fasta,630,19772882.337
C,fasta,632,20188965.408
C,fasta,633,19998803.77
C,fasta,639,19951084.446
C,fasta,638,20023820.849
C,fasta,637,20176382.438
C,fasta,622,22052967.388
C,fasta,620,19105847.224
C,fasta,775,20202082.641
C,k-nucleotide,1304,70833895.828
C,k-nucleotide,1028,70986248.509
C,k-nucleotide,1049,70116830.84
C,k-nucleotide,1059,70780688.811
C,k-nucleotide,1061,70257878.106
C,k-nucleotide,1057,69878800.888
C,k-nucleotide,1057,71576702.946
C,k-nucleotide,1045,69963017.181
C,k-nucleotide,1050,69294844.757
C,k-nucleotide,1065,70471869.406
C,k-nucleotide,1061,71326305.168
C,reverse-complement,420,6291797.553
C,reverse-complement,152,4818746.247
C,reverse-complement,151,4779812.976
C,reverse-complement,155,4768843.493
C,reverse-complement,157,4812612.958
C,reverse-complement,150,4716919.653
C,reverse-complement,157,4871596.883
C,reverse-complement,150,4645317.728
C,reverse-complement,148,4652352.174
C,reverse-complement,148,4584304.341
C,reverse-complement,163,4896902.402
CSharp,binary-trees,6240,208246668.319
CSharp,binary-trees,6302,204873878.812
CSharp,binary-trees,6248,212399389.214
CSharp,binary-trees,6139,211918993.416
CSharp,binary-trees,6027,209472359.836
CSharp,binary-trees,6046,211157154.129
CSharp,binary-trees,6009,206543248.661
CSharp,binary-trees,6276,203928898.878
CSharp,binary-trees,6150,209926436.11
CSharp,binary-trees,6090,211576529.863
CSharp,binary-trees,6107,211132607.372
CSharp,fannkuch-redux,1802,394105011.31
CSharp,fannkuch-redux,1801,398004508.871
CSharp,fannkuch-redux,1792,397669747.912
CSharp,fannkuch-redux,1793,392519969.472
CSharp,fannkuch-redux,1786,394643152.428
CSharp,fannkuch-redux,1794,395137114.263
CSharp,fannkuch-redux,1805,400404324.539
CSharp,fannkuch-redux,1807,396772787.456
CSharp,fannkuch-redux,1786,395727514.393
CSharp,fannkuch-redux,1795,396510885.948
CSharp,fannkuch-redux,1790,396710713.271
CSharp,fasta,1060,105925654.968
CSharp,fasta,901,101232574.657
CSharp,fasta,912,102970937.596
CSharp,fasta,911,103461228.256
CSharp,fasta,914,102152921.713
CSharp,fasta,907,99418049.019
CSharp,fasta,902,103998412.084
CSharp,fasta,943,105188858.184
CSharp,fasta,956,103958652.588
CSharp,fasta,1024,114218774.563
CSharp,fasta,916,97738658.711
CSharp,mandelbrot,457,54951666.16
CSharp,mandelbrot,457,55468160.488
CSharp,mandelbrot,456,55005016.426
CSharp,mandelbrot,456,54976692.071
CSharp,mandelbrot,469,55869610.91
CSharp,mandelbrot,455,54977855.438
CSharp,mandelbrot,457,55539930.683
CSharp,mandelbrot,457,55568913.847
CSharp,mandelbrot,456,54450953.409
CSharp,mandelbrot,457,55503032.048
CSharp,mandelbrot,455,55285873.525
CSharp,n-body,2193,48380592.929
CSharp,n-body,2194,48731603.721
CSharp,n-body,2195,48877030.454
CSharp,n-body,2049,55605260.939
CSharp,n-body,2076,60004985.479
CSharp,n-body,2057,58170054.184
CSharp,n-body,2185,49499911.112
CSharp,n-body,2195,48818495.158
CSharp,n-body,2194,48967558.862
CSharp,n-body,2195,48662016.438
CSharp,n-body,2102,53837782.015
CSharp,k-nucleotide,1286,83528860.588
CSharp,k-nucleotide,1283,82877819.564
CSharp,k-nucleotide,1282,83772709.514
CSharp,k-nucleotide,1279,83021794.624
CSharp,k-nucleotide,1296,83094637.864
CSharp,k-nucleotide,1292,82928069.838
CSharp,k-nucleotide,1251,86742789.696
CSharp,k-nucleotide,1286,83253826.245
CSharp,k-nucleotide,1289,84676169.47
CSharp,k-nucleotide,1274,82893017.768
CSharp,k-nucleotide,1282,82930184.541
CSharp,reverse-complement,300,9527855.908
CSharp,reverse-complement,299,9590318.306
CSharp,reverse-complement,300,9586794.349
CSharp,reverse-complement,302,9464830.956
CSharp,reverse-complement,300,9481881.455
CSharp,reverse-complement,300,9607786.32
CSharp,reverse-complement,304,9383977.021
CSharp,reverse-complement,303,9662061.252
CSharp,reverse-complement,301,9420980.651
CSharp,reverse-complement,304,9486894.499
CSharp,reverse-complement,299,9481410.218
CSharp,spectral-norm,130,14758993.92
CSharp,spectral-norm,131,14679759.463
CSharp,spectral-norm,131,14725848.042
CSharp,spectral-norm,133,14564755.969
CSharp,spectral-norm,132,14832147.478
CSharp,spectral-norm,130,14576738.469
CSharp,spectral-norm,131,14574402.593
CSharp,spectral-norm,131,14911808.432
CSharp,spectral-norm,131,14778502.997
CSharp,spectral-norm,131,14774900.299
CSharp,spectral-norm,133,14571964.475
Erlang,binary-trees,2021,249256503.877
Erlang,binary-trees,2054,250123980.883
Erlang,binary-trees,2064,250882466.547
Erlang,binary-trees,2072,250954759.441
Erlang,binary-trees,1939,244746091.577
Erlang,binary-trees,1949,245908777.929
Erlang,binary-trees,1947,246702601.194
Erlang,binary-trees,1938,247612899.537
Erlang,binary-trees,2044,252855104.728
Erlang,binary-trees,2078,252825639.405
Erlang,binary-trees,2056,252084356.9
Erlang,fannkuch-redux,14100,2807384821.927
Erlang,fannkuch-redux,13926,2713597201.685
Erlang,fannkuch-redux,14253,2822959082.002
Erlang,fannkuch-redux,14408,2824613076.808
Erlang,fannkuch-redux,13509,2802084196.481
Erlang,fannkuch-redux,15113,2981329586.152
Erlang,fannkuch-redux,14102,2746413069.604
Erlang,fannkuch-redux,13993,2803687447.17
Erlang,fannkuch-redux,14178,2807922529.915
Erlang,fannkuch-redux,14293,2796906962.094
Erlang,fannkuch-redux,13523,2835664291.366
Erlang,fasta,13699,324136999.38
Erlang,fasta,13239,355253051.727
Erlang,fasta,13606,324471157.749
Erlang,fasta,13153,352811075.392
Erlang,fasta,13823,328921521.211
