"","language","correlation"
"1","C",0.733333333333333
"2","CSharp",0.455380205195806
"3","Erlang",0.485507246376812
"4","FSharp",0.402904474795548
"5","Fortran",0.45901886062937
"6","Go",0.73953745323799
"7","JRuby",0.543478260869565
"8","Java",0.580350750261195
"9","JavaScript",0.572463768115942
"10","Lisp",0.655741229470528
"11","Lua",0.760869565217391
"12","PHP",0.823957799807112
"13","Perl",0.579710144927536
"14","Python",0.565217391304348
"15","Racket",0.71300967820873
"16","Rust",0.488472787868493
"17","TypeScript",0.850914716810114
