language,task,duration,energy
C,binary-trees,336,20948628.334
C,binary-trees,330,21302939.387
C,binary-trees,330,21125728.824
C,binary-trees,334,21178148.737
C,binary-trees,328,21782754.94
C,binary-trees,334,21447820.821
C,binary-trees,333,21145773.162
C,binary-trees,328,21206750.44
C,binary-trees,331,21175810.258
C,binary-trees,327,21087667.522
C,binary-trees,327,21176898.747
C,fannkuch-redux,29851,183932861.867
C,fannkuch-redux,1901,183681691.514
C,fannkuch-redux,1899,185650898.582
C,fannkuch-redux,1899,186829914.294
C,fannkuch-redux,1900,187147325.646
C,fannkuch-redux,1903,184248720.9
C,fannkuch-redux,1900,187106960.815
C,fannkuch-redux,1901,187885000.624
C,fannkuch-redux,1901,184288712.301
C,fannkuch-redux,1900,184262727.863
C,fannkuch-redux,1901,184615710.285
C,fasta,821,13479000.0
C,fasta,807,13948180.251
C,fasta,806,13742770.545
C,fasta,813,14835178.256
C,fasta,809,13837698.367
C,fasta,808,13879334.008
C,fasta,815,14185736.338
C,fasta,813,13929759.679
C,fasta,807,14053040.737
C,fasta,810,13902563.907
C,fasta,802,13681757.108
C,k-nucleotide,1394,48767388.223
C,k-nucleotide,1399,49029724.11
C,k-nucleotide,1396,49311757.908
C,k-nucleotide,1407,49486687.919
C,k-nucleotide,1405,49446767.439
C,k-nucleotide,1400,49270282.797
C,k-nucleotide,1393,49300847.378
C,k-nucleotide,1397,49453101.057
C,k-nucleotide,1405,49337075.261
C,k-nucleotide,1403,49022730.68
C,k-nucleotide,1403,49317751.539
C,reverse-complement,273,3564732.114
C,reverse-complement,247,3299713.415
C,reverse-complement,240,3233726.793
C,reverse-complement,247,3277763.462
C,reverse-complement,232,3226167.348
C,reverse-complement,243,3371965.358
C,reverse-complement,255,3432286.418
C,reverse-complement,231,3321044.354
C,reverse-complement,240,3300709.08
C,reverse-complement,243,3293587.949
C,reverse-complement,237,3291744.418
CSharp,binary-trees,8166,144434086.794
CSharp,binary-trees,8299,144881733.646
CSharp,binary-trees,8183,144602747.906
CSharp,binary-trees,8376,145944795.115
CSharp,binary-trees,8227,147429908.05
CSharp,binary-trees,8380,148387023.186
CSharp,binary-trees,8205,146087417.686
CSharp,binary-trees,8205,145471148.629
CSharp,binary-trees,8173,144315772.023
CSharp,binary-trees,8213,143139725.022
CSharp,binary-trees,8141,143493797.301
CSharp,fannkuch-redux,2245,247792829.921
CSharp,fannkuch-redux,2248,247364763.76
CSharp,fannkuch-redux,2244,247662244.546
CSharp,fannkuch-redux,2266,248959923.75
CSharp,fannkuch-redux,2262,249863570.573
CSharp,fannkuch-redux,2257,249344881.972
CSharp,fannkuch-redux,2247,247512797.171
CSharp,fannkuch-redux,2246,247370695.964
CSharp,fannkuch-redux,2244,247762293.954
CSharp,fannkuch-redux,2253,248033765.024
CSharp,fannkuch-redux,2245,247510205.881
CSharp,fasta,1159,65246283.202
CSharp,fasta,1157,64627713.915
CSharp,fasta,1175,61688686.749
CSharp,fasta,1166,64951315.469
CSharp,fasta,1176,68215761.237
CSharp,fasta,1151,68238215.26
CSharp,fasta,1175,61671720.617
CSharp,fasta,1199,62889774.863
CSharp,fasta,1158,61001999.845
CSharp,fasta,1167,62128729.867
CSharp,fasta,1162,64898841.532
