"","language","energy_avg"
"1","Java",1
"2","C",1.02554000821394
"3","Rust",1.16893607588441
"4","CSharp",1.41041334247685
"5","FSharp",1.60365496829727
"6","Go",1.84103815308246
"7","Lisp",1.84645759066264
"8","Fortran",2.00995739173076
"9","Racket",2.49851240428033
"10","JavaScript",2.89982392977304
"11","TypeScript",4.3100656786916
"12","JRuby",10.3585058967734
"13","Erlang",15.1718278719774
"14","PHP",20.8360727166961
"15","Lua",26.946110970767
"16","Python",29.2596472293517
"17","Perl",43.3834128860673
