language,task,duration,energy
C,binary-trees,1198,35313142.0
C,binary-trees,1205,34830660.0
C,binary-trees,1208,35255160.0
C,binary-trees,1203,35305574.0
C,binary-trees,1198,34809786.0
C,binary-trees,1207,34506930.0
C,binary-trees,1196,35019076.0
C,binary-trees,1213,34859042.0
C,binary-trees,1201,34634554.0
C,binary-trees,1195,34442966.0
C,binary-trees,1217,34693209.0
C,fannkuch-redux,8390,220357225.0
C,fannkuch-redux,8386,219545336.0
C,fannkuch-redux,8376,218383107.0
C,fannkuch-redux,8373,217638968.0
C,fannkuch-redux,8474,220224107.0
C,fannkuch-redux,8371,219047962.0
C,fannkuch-redux,8393,219258839.0
C,fannkuch-redux,8416,217917595.0
C,fannkuch-redux,8418,217788688.0
C,fannkuch-redux,8441,219138417.0
C,fannkuch-redux,8421,216179502.0
C,fasta,1228,25184751.0
C,fasta,1308,26503167.0
C,fasta,1204,24979306.0
C,fasta,1186,24639402.0
C,fasta,1234,25904841.0
C,fasta,1219,25484677.0
C,fasta,1224,25347714.0
C,fasta,1255,25583064.0
C,fasta,1166,23916565.0
C,fasta,1217,25200801.0
C,fasta,1203,25075252.0
C,k-nucleotide,3224,91024546.0
C,k-nucleotide,3347,92403267.0
C,k-nucleotide,3304,91365733.0
C,k-nucleotide,3070,87051534.0
C,k-nucleotide,3316,91573312.0
C,k-nucleotide,3382,92355599.0
C,k-nucleotide,3356,92218574.0
C,k-nucleotide,3322,90650647.0
C,k-nucleotide,3300,91221995.0
C,k-nucleotide,3380,95208252.0
C,k-nucleotide,3381,95185119.0
C,reverse-complement,314,6863753.0
C,reverse-complement,302,6813458.0
C,reverse-complement,308,6902203.0
C,reverse-complement,303,6703718.0
C,reverse-complement,315,6706769.0
C,reverse-complement,299,6788250.0
C,reverse-complement,316,6820966.0
C,reverse-complement,312,6884321.0
C,reverse-complement,310,6671979.0
C,reverse-complement,311,6755719.0
C,reverse-complement,318,6817244.0
CSharp,binary-trees,11730,239244992.0
CSharp,binary-trees,11726,238082946.0
CSharp,binary-trees,11979,243408740.0
CSharp,binary-trees,11799,235363352.0
CSharp,binary-trees,11709,233785778.0
CSharp,binary-trees,11761,236172980.0
CSharp,binary-trees,12200,240098872.0
CSharp,binary-trees,11897,243773911.0
CSharp,binary-trees,11881,239919857.0
CSharp,binary-trees,11522,232417679.0
CSharp,binary-trees,11744,237831971.0
CSharp,fannkuch-redux,12816,357888793.0
CSharp,fannkuch-redux,12808,355555302.0
CSharp,fannkuch-redux,12930,356663759.0
CSharp,fannkuch-redux,12852,356910768.0
CSharp,fannkuch-redux,12838,354758126.0
CSharp,fannkuch-redux,12867,362535998.0
CSharp,fannkuch-redux,12789,353101269.0
CSharp,fannkuch-redux,12868,358798031.0
CSharp,fannkuch-redux,12800,361427664.0
CSharp,fannkuch-redux,12974,368014559.0
CSharp,fannkuch-redux,12992,367383460.0
CSharp,fasta,2102,48990475.0
CSharp,fasta,1939,45265998.0
CSharp,fasta,2101,49784784.0
CSharp,fasta,2069,48839475.0
CSharp,fasta,2042,47177675.0
CSharp,fasta,2024,46761537.0
CSharp,fasta,2157,51232413.0
CSharp,fasta,2021,47164246.0
CSharp,fasta,1990,46374881.0
CSharp,fasta,2082,48786679.0
CSharp,fasta,2034,48238098.0
CSharp,k-nucleotide,4187,116995123.0
CSharp,k-nucleotide,4221,117645268.0
CSharp,k-nucleotide,4254,118313601.0
CSharp,k-nucleotide,4263,115844490.0
CSharp,k-nucleotide,4228,118899904.0
CSharp,k-nucleotide,4320,117009650.0
CSharp,k-nucleotide,4269,115803230.0
CSharp,k-nucleotide,4176,113976820.0
CSharp,k-nucleotide,4268,119046999.0
CSharp,k-nucleotide,4230,117465886.0
CSharp,k-nucleotide,4256,118410526.0
CSharp,mandelbrot,2102,50032829.0
CSharp,mandelbrot,2105,48994198.0
CSharp,mandelbrot,2100,49033382.0
CSharp,mandelbrot,2098,49913812.0
CSharp,mandelbrot,2099,49863459.0
CSharp,mandelbrot,2097,48838804.0
CSharp,mandelbrot,2099,48932675.0
CSharp,mandelbrot,2098,49845026.0
CSharp,mandelbrot,2101,49626703.0
CSharp,mandelbrot,2111,49390560.0
CSharp,mandelbrot,2097,48995541.0
CSharp,n-body,3775,80519692.0
CSharp,n-body,3778,80581458.0
CSharp,n-body,3774,80268105.0
CSharp,n-body,3783,80415261.0
CSharp,n-body,3780,78691631.0
CSharp,n-body,3780,80124307.0
CSharp,n-body,3779,78120405.0
CSharp,n-body,3783,82592257.0
CSharp,n-body,3777,80704690.0
CSharp,n-body,3771,81151282.0
CSharp,n-body,3781,81107091.0
CSharp,reverse-complement,694,16080464.0
CSharp,reverse-complement,691,16294574.0
CSharp,reverse-complement,695,15962850.0
CSharp,reverse-complement,696,16409259.0
CSharp,reverse-complement,698,16232625.0
CSharp,reverse-complement,703,15809531.0
CSharp,reverse-complement,704,16590533.0
CSharp,reverse-complement,704,15873922.0
CSharp,reverse-complement,702,16120808.0
CSharp,reverse-complement,696,15781331.0
CSharp,reverse-complement,693,15969991.0
CSharp,spectral-norm,978,21930120.0
CSharp,spectral-norm,961,21839972.0
CSharp,spectral-norm,953,21810674.0
CSharp,spectral-norm,956,21530645.0
CSharp,spectral-norm,962,21875310.0
CSharp,spectral-norm,959,21707892.0
CSharp,spectral-norm,961,21929937.0
CSharp,spectral-norm,963,21954107.0
CSharp,spectral-norm,959,21659796.0
CSharp,spectral-norm,964,21613408.0
CSharp,spectral-norm,968,21832464.0
Erlang,binary-trees,4159,113238907.0
Erlang,binary-trees,4174,114298840.0
Erlang,binary-trees,4262,115876596.0
Erlang,binary-trees,4148,113309707.0
Erlang,binary-trees,4180,111002096.0
Erlang,binary-trees,4097,110526085.0
Erlang,binary-trees,4250,113230605.0
Erlang,binary-trees,4166,111225788.0
Erlang,binary-trees,4133,111146811.0
Erlang,binary-trees,4163,111280537.0
Erlang,binary-trees,4163,111432577.0
Erlang,fannkuch-redux,58223,1589604024.0
Erlang,fannkuch-redux,58893,1588773520.0
Erlang,fannkuch-redux,58257,1615588942.0
Erlang,fannkuch-redux,58065,1573138063.0
Erlang,fannkuch-redux,58105,1570246529.0
Erlang,fannkuch-redux,58737,1602035267.0
Erlang,fannkuch-redux,58694,1589042562.0
Erlang,fannkuch-redux,58825,1635058619.0
Erlang,fannkuch-redux,58448,1622685910.0
Erlang,fannkuch-redux,57861,1573152895.0
Erlang,fannkuch-redux,58025,1624670279.0
Erlang,fasta,18117,322549956.0
Erlang,fasta,18061,326692646.0
Erlang,fasta,18066,320494725.0
Erlang,fasta,18231,325972127.0
Erlang,fasta,18005,318465005.0
Erlang,fasta,18441,326277056.0
Erlang,fasta,18322,325884053.0
Erlang,fasta,18300,328069473.0
Erlang,fasta,17974,317658122.0
Erlang,fasta,18193,322042939.0
Erlang,fasta,18326,330465403.0
Erlang,k-nucleotide,52759,1470464498.0
