"","language","correlation"
"1","C",0.866666666666667
"2","CSharp",0.976408141621644
"3","Erlang",0.804347826086957
"4","FSharp",0.927536231884058
"5","Fortran",0.882352941176471
"6","Go",0.91304347826087
"7","JRuby",0.920289855072464
"8","Java",0.80952380952381
"9","JavaScript",0.927536231884058
"10","Lisp",0.806684875017868
"11","Lua",0.934782608695652
"12","PHP",0.811594202898551
"13","Perl",0.855072463768116
"14","Python",0.833333333333333
"15","Racket",0.91304347826087
"16","Rust",0.869281045751634
"17","TypeScript",0.847826086956522
