"","language","duration","energy"
"1","C",2861,1
"2","Rust",3236.38888888889,1.09625006983593
"3","Java",3291.95238095238,1.09664499487366
"4","CSharp",4781.16666666667,1.53517366176315
"5","Lisp",4636.19047619048,1.56085215170807
"6","Go",4827.33333333333,1.75450810827696
"7","FSharp",6119.08333333333,1.94957953824853
"8","Fortran",11641.7222222222,3.33159138583655
"9","JavaScript",12695.0416666667,4.0174362108556
"10","Racket",14621.1666666667,4.31242413242671
"11","TypeScript",28300.2916666667,8.54206167106691
"12","Erlang",32815.5833333333,11.2073934721368
"13","PHP",42806.3333333333,16.1352496528
"14","Python",99824.0416666667,38.5200583556285
"15","Perl",104105,40.1487159778253
"16","JRuby",118025.5,41.124280286544
"17","Lua",162464.666666667,49.9970056022549
