language,task,duration,energy
C,binary-trees,571,56818642.0
C,binary-trees,580,57276281.0
C,binary-trees,577,57030799.0
C,binary-trees,529,56657752.0
C,binary-trees,563,57094397.0
C,binary-trees,563,57084814.0
C,binary-trees,563,56773291.0
C,binary-trees,575,57678562.0
C,binary-trees,571,56992407.0
C,binary-trees,567,56993385.0
C,binary-trees,567,56745948.0
C,fasta,618,48337400.0
C,fasta,618,46468081.0
C,fasta,617,48818540.0
C,fasta,615,48469052.0
C,fasta,617,50086176.0
C,fasta,617,49665035.0
C,fasta,617,49256160.0
C,fasta,616,48780271.0
C,fasta,616,49283931.0
C,fasta,613,48791258.0
C,fasta,615,49084287.0
C,reverse-complement,265,14360986.0
C,reverse-complement,268,14091211.0
C,reverse-complement,267,14282984.0
C,reverse-complement,267,14119410.0
C,reverse-complement,267,14607872.0
C,reverse-complement,263,14234584.0
C,reverse-complement,268,14738060.0
C,reverse-complement,269,14275232.0
C,reverse-complement,268,14086390.0
C,reverse-complement,267,14150355.0
C,reverse-complement,267,14698265.0
CSharp,binary-trees,9380,434505358.0
CSharp,binary-trees,9470,430787593.0
CSharp,binary-trees,9604,431372491.0
CSharp,binary-trees,9217,434199573.0
CSharp,binary-trees,9112,434193104.0
CSharp,binary-trees,9263,444095360.0
CSharp,binary-trees,9361,423326552.0
CSharp,binary-trees,9403,429997495.0
CSharp,binary-trees,9331,429591734.0
CSharp,binary-trees,9480,423481522.0
CSharp,binary-trees,9343,440535370.0
CSharp,fasta,1003,135987690.0
CSharp,fasta,981,136904862.0
CSharp,fasta,980,133926171.0
CSharp,fasta,1025,141454777.0
CSharp,fasta,1143,153887363.0
CSharp,fasta,1010,134334494.0
CSharp,fasta,1053,136079425.0
CSharp,fasta,1018,139956428.0
CSharp,fasta,999,137254837.0
CSharp,fasta,976,132591945.0
CSharp,fasta,1006,140730414.0
CSharp,k-nucleotide,2373,182126549.0
CSharp,k-nucleotide,2203,179851285.0
CSharp,k-nucleotide,2418,184756425.0
CSharp,k-nucleotide,2227,183839495.0
CSharp,k-nucleotide,2364,183821978.0
CSharp,k-nucleotide,2346,187687203.0
CSharp,k-nucleotide,2341,187328805.0
CSharp,k-nucleotide,2237,183776567.0
CSharp,k-nucleotide,2388,181775963.0
CSharp,k-nucleotide,2272,183559100.0
CSharp,k-nucleotide,2348,185135573.0
CSharp,mandelbrot,827,101310470.0
CSharp,mandelbrot,826,101723861.0
CSharp,mandelbrot,825,102058027.0
CSharp,mandelbrot,827,102085127.0
CSharp,mandelbrot,827,102529583.0
CSharp,mandelbrot,826,102209578.0
CSharp,mandelbrot,827,101891524.0
CSharp,mandelbrot,828,103290201.0
CSharp,mandelbrot,826,101462998.0
CSharp,mandelbrot,827,102007734.0
CSharp,mandelbrot,826,101920393.0
CSharp,n-body,3595,123519216.0
CSharp,n-body,3610,121164546.0
CSharp,n-body,3613,120600826.0
CSharp,n-body,3614,124673082.0
CSharp,n-body,3609,126810345.0
CSharp,n-body,3581,126792096.0
CSharp,n-body,3610,123338001.0
CSharp,n-body,3613,124710068.0
CSharp,n-body,3609,122810537.0
CSharp,n-body,3613,123906849.0
CSharp,n-body,3609,124217639.0
CSharp,reverse-complement,664,31471965.0
CSharp,reverse-complement,663,32298563.0
CSharp,reverse-complement,665,32139138.0
CSharp,reverse-complement,664,31215435.0
CSharp,reverse-complement,664,31481121.0
CSharp,reverse-complement,666,31882181.0
CSharp,reverse-complement,663,31619854.0
CSharp,reverse-complement,663,31407574.0
CSharp,reverse-complement,666,32039285.0
CSharp,reverse-complement,666,32055583.0
CSharp,reverse-complement,667,32178263.0
CSharp,spectral-norm,310,38422264.0
CSharp,spectral-norm,311,38729880.0
CSharp,spectral-norm,324,38725121.0
CSharp,spectral-norm,311,38620141.0
CSharp,spectral-norm,324,38704734.0
CSharp,spectral-norm,315,38754784.0
CSharp,spectral-norm,311,38322229.0
CSharp,spectral-norm,311,38617455.0
CSharp,spectral-norm,316,38516260.0
CSharp,spectral-norm,324,38782250.0
CSharp,spectral-norm,311,38530175.0
Erlang,binary-trees,2814,263127256.0
Erlang,binary-trees,2829,263152281.0
Erlang,binary-trees,2813,260903140.0
Erlang,binary-trees,2827,264030757.0
Erlang,binary-trees,2807,265473319.0
Erlang,binary-trees,2794,266427602.0
Erlang,binary-trees,2839,265601555.0
Erlang,binary-trees,2731,264663568.0
Erlang,binary-trees,2832,265254021.0
Erlang,binary-trees,2818,265187920.0
Erlang,binary-trees,2820,264321650.0
Erlang,fasta,14056,651225200.0
Erlang,fasta,13990,647071708.0
Erlang,fasta,13948,642813416.0
Erlang,fasta,13923,660798418.0
Erlang,fasta,14085,674807111.0
Erlang,fasta,14023,640557504.0
Erlang,fasta,13942,649663498.0
Erlang,fasta,13852,670159540.0
Erlang,fasta,13946,670958732.0
Erlang,fasta,13993,647485647.0
Erlang,fasta,13836,643356935.0
Erlang,k-nucleotide,38017,3705542271.0
Erlang,k-nucleotide,37772,3605819505.0
Erlang,k-nucleotide,34029,3593941911.0
Erlang,k-nucleotide,37091,3622063360.0
Erlang,k-nucleotide,33612,3646455021.0
Erlang,k-nucleotide,33947,3593509295.0
Erlang,k-nucleotide,36955,3577397336.0
Erlang,k-nucleotide,33092,3571555919.0
Erlang,k-nucleotide,34172,3630556257.0
Erlang,k-nucleotide,37131,3652909839.0
Erlang,k-nucleotide,33183,3572306895.0
Erlang,mandelbrot,13492,2281778399.0
Erlang,mandelbrot,13520,2293589587.0
Erlang,mandelbrot,13505,2288646912.0
Erlang,mandelbrot,13495,2284695201.0
Erlang,mandelbrot,13502,2285071969.0
Erlang,mandelbrot,13491,2282860427.0
Erlang,mandelbrot,13508,2287575503.0
Erlang,mandelbrot,13522,2292122917.0
Erlang,mandelbrot,13528,2293734118.0
Erlang,mandelbrot,13474,2276577975.0
Erlang,mandelbrot,13481,2280620138.0
Erlang,n-body,68779,2969819850.0
Erlang,n-body,69313,2913088184.0
Erlang,n-body,70719,3129559067.0
Erlang,n-body,68721,2999806529.0
Erlang,n-body,68933,3020501363.0
Erlang,n-body,69034,3040497954.0
Erlang,n-body,68481,3087235077.0
Erlang,n-body,68909,3154761881.0
Erlang,n-body,69483,3000219064.0
Erlang,n-body,69267,2999975596.0
Erlang,n-body,69809,2994597010.0
Erlang,reverse-complement,3557,273543490.0
Erlang,reverse-complement,3604,275086880.0
Erlang,reverse-complement,3564,272141269.0
Erlang,reverse-complement,3726,280575086.0
Erlang,reverse-complement,3632,275966701.0
Erlang,reverse-complement,3591,274578948.0
Erlang,reverse-complement,3665,273547089.0
Erlang,reverse-complement,3615,275469998.0
Erlang,reverse-complement,3637,280440994.0
Erlang,reverse-complement,3498,274441376.0
Erlang,reverse-complement,3728,275924403.0
Erlang,spectral-norm,3820,681877649.0
Erlang,spectral-norm,3831,684419573.0
Erlang,spectral-norm,3829,686466811.0
Erlang,spectral-norm,3822,677515659.0
Erlang,spectral-norm,3830,674821516.0
Erlang,spectral-norm,3828,678302524.0
Erlang,spectral-norm,3827,681698939.0
Erlang,spectral-norm,3822,682179893.0
Erlang,spectral-norm,3822,677539770.0
Erlang,spectral-norm,3819,678122837.0
Erlang,spectral-norm,3825,679744414.0
FSharp,binary-trees,6938,262027284.0
FSharp,binary-trees,6832,263176634.0
FSharp,binary-trees,6922,259079598.0
FSharp,binary-trees,6881,264727350.0
FSharp,binary-trees,6948,262806639.0
FSharp,binary-trees,7014,265441398.0
FSharp,binary-trees,7009,267769151.0
FSharp,binary-trees,6723,264592341.0
FSharp,binary-trees,6941,265663138.0
FSharp,binary-trees,7004,263346189.0
FSharp,binary-trees,6815,263473629.0
FSharp,fasta,3974,180141689.0
FSharp,fasta,3915,186466015.0
FSharp,fasta,3962,182632284.0
FSharp,fasta,3969,179520048.0
FSharp,fasta,3962,183462481.0
FSharp,fasta,3983,182625570.0
FSharp,fasta,3965,180192348.0
FSharp,fasta,3974,180135404.0
FSharp,fasta,3974,177665560.0
FSharp,fasta,3975,183177511.0
FSharp,fasta,3974,182136069.0
FSharp,k-nucleotide,5768,349263572.0
FSharp,k-nucleotide,5862,352952161.0
FSharp,k-nucleotide,5811,356768434.0
FSharp,k-nucleotide,5860,349062706.0
FSharp,k-nucleotide,5814,348957358.0
FSharp,k-nucleotide,5734,344958774.0
FSharp,k-nucleotide,5782,352968091.0
FSharp,k-nucleotide,5836,354842718.0
FSharp,k-nucleotide,5883,352823744.0
FSharp,k-nucleotide,5824,349990438.0
FSharp,k-nucleotide,5813,345795868.0
FSharp,mandelbrot,1081,124477404.0
FSharp,mandelbrot,1135,138661633.0
FSharp,mandelbrot,1135,138978161.0
FSharp,mandelbrot,1134,138707287.0
FSharp,mandelbrot,1135,137915417.0
FSharp,mandelbrot,1134,138208081.0
FSharp,mandelbrot,1136,138676768.0
FSharp,mandelbrot,1132,137732984.0
FSharp,mandelbrot,1135,137722854.0
FSharp,mandelbrot,1134,138087903.0
FSharp,mandelbrot,1133,137924573.0
FSharp,n-body,4046,156759547.0
FSharp,n-body,4072,155408355.0
FSharp,n-body,4091,151790200.0
FSharp,n-body,4074,149116622.0
FSharp,n-body,4054,153286045.0
FSharp,n-body,4104,153117772.0
FSharp,n-body,4085,154499116.0
FSharp,n-body,4103,151743813.0
FSharp,n-body,4106,150942669.0
FSharp,n-body,4104,153237036.0
FSharp,n-body,4046,156160245.0
FSharp,reverse-complement,10674,528104177.0
FSharp,reverse-complement,10643,520849620.0
FSharp,reverse-complement,10797,520767710.0
FSharp,reverse-complement,10563,512378327.0
FSharp,reverse-complement,10640,517186420.0
FSharp,reverse-complement,10749,519435925.0
FSharp,reverse-complement,10658,522955326.0
FSharp,reverse-complement,10603,509557412.0
FSharp,reverse-complement,10528,525705807.0
FSharp,reverse-complement,10539,508499614.0
FSharp,reverse-complement,10666,526330562.0
FSharp,spectral-norm,312,35259003.0
FSharp,spectral-norm,314,34974398.0
FSharp,spectral-norm,310,35186800.0
FSharp,spectral-norm,313,35241731.0
FSharp,spectral-norm,312,35374299.0
FSharp,spectral-norm,312,35179902.0
FSharp,spectral-norm,312,35339751.0
FSharp,spectral-norm,312,35058504.0
FSharp,spectral-norm,313,35463837.0
FSharp,spectral-norm,311,35484467.0
FSharp,spectral-norm,311,35214875.0
Fortran,fasta,1043,49500910.0
Fortran,fasta,1019,50541131.0
Fortran,fasta,1041,49189816.0
Fortran,fasta,1038,49274776.0
Fortran,fasta,1037,49018552.0
Fortran,fasta,1040,48514891.0
Fortran,fasta,1038,48249450.0
Fortran,fasta,1038,49896967.0
Fortran,fasta,1035,48979185.0
Fortran,fasta,1036,48442929.0
Fortran,fasta,1038,49040708.0
Fortran,k-nucleotide,33834,1340764512.0
Fortran,k-nucleotide,34213,1331168712.0
Fortran,k-nucleotide,34134,1343275858.0
Fortran,k-nucleotide,34121,1347167267.0
Fortran,k-nucleotide,34115,1312721066.0
Fortran,k-nucleotide,34013,1334745607.0
Fortran,k-nucleotide,33953,1328804948.0
Fortran,k-nucleotide,33735,1339513294.0
Fortran,k-nucleotide,33682,1376528276.0
Fortran,k-nucleotide,33688,1335959897.0
Fortran,k-nucleotide,33934,1345399327.0
Fortran,mandelbrot,2048,156366543.0
Fortran,mandelbrot,2043,156163418.0
Fortran,mandelbrot,2408,166216494.0
Fortran,mandelbrot,2043,157050563.0
Fortran,mandelbrot,2049,156043668.0
Fortran,mandelbrot,2051,156471951.0
Fortran,mandelbrot,2046,155438201.0
Fortran,mandelbrot,2047,155962125.0
Fortran,mandelbrot,2043,154583161.0
Fortran,mandelbrot,2046,156701198.0
Fortran,mandelbrot,2044,155416168.0
Fortran,n-body,3313,124646592.0
Fortran,n-body,3350,121644464.0
Fortran,n-body,3339,124108385.0
Fortran,n-body,3350,123355031.0
Fortran,n-body,3350,121152461.0
Fortran,n-body,3351,121422541.0
Fortran,n-body,3329,125255783.0
Fortran,n-body,3351,124414172.0
Fortran,n-body,3303,125902387.0
Fortran,n-body,3302,125148362.0
Fortran,n-body,3350,119909423.0
Fortran,spectral-norm,306,37949243.0
Fortran,spectral-norm,307,37654688.0
Fortran,spectral-norm,307,37865564.0
Fortran,spectral-norm,306,37779627.0
Fortran,spectral-norm,307,37730615.0
Fortran,spectral-norm,306,37742395.0
Fortran,spectral-norm,306,37722132.0
Fortran,spectral-norm,307,37814784.0
Fortran,spectral-norm,307,37869165.0
Fortran,spectral-norm,307,37508936.0
Fortran,spectral-norm,306,37959497.0
Go,binary-trees,6366,837144708.0
Go,binary-trees,6439,851955094.0
Go,binary-trees,6385,838522512.0
Go,binary-trees,6346,834069825.0
Go,binary-trees,6394,845697787.0
Go,binary-trees,6417,841007673.0
Go,binary-trees,6358,843748696.0
Go,binary-trees,6461,846184540.0
Go,binary-trees,6450,842304973.0
Go,binary-trees,6371,839368823.0
Go,binary-trees,6462,839995896.0
Go,fasta,837,64298297.0
Go,fasta,826,63747091.0
Go,fasta,940,66021926.0
Go,fasta,824,63067894.0
Go,fasta,935,65859817.0
Go,fasta,938,68798651.0
Go,fasta,821,64227742.0
Go,fasta,827,63891011.0
Go,fasta,938,64286089.0
Go,fasta,938,67217663.0
Go,fasta,935,66466933.0
Go,k-nucleotide,3393,344130223.0
Go,k-nucleotide,3249,334947140.0
Go,k-nucleotide,3265,333525392.0
Go,k-nucleotide,3379,337832083.0
Go,k-nucleotide,3444,343337195.0
Go,k-nucleotide,3360,339562607.0
Go,k-nucleotide,3312,334393309.0
Go,k-nucleotide,3194,337650991.0
Go,k-nucleotide,3356,333862426.0
Go,k-nucleotide,3403,337693898.0
Go,k-nucleotide,3344,334099182.0
Go,mandelbrot,678,96370725.0
Go,mandelbrot,677,96157226.0
Go,mandelbrot,677,96280270.0
Go,mandelbrot,679,95861632.0
Go,mandelbrot,678,96723873.0
Go,mandelbrot,677,96347593.0
Go,mandelbrot,678,96095091.0
Go,mandelbrot,678,96508602.0
Go,mandelbrot,677,96199583.0
Go,mandelbrot,681,96213989.0
Go,mandelbrot,678,96247983.0
Go,n-body,3547,125975447.0
Go,n-body,3582,120379087.0
Go,n-body,3553,125776715.0
Go,n-body,3576,124738938.0
Go,n-body,3574,125837996.0
Go,n-body,3586,121675897.0
Go,n-body,3588,121468195.0
Go,n-body,3584,121813043.0
Go,n-body,3554,125552840.0
Go,n-body,3544,125339399.0
Go,n-body,3579,124299975.0
Go,reverse-complement,361,16760699.0
Go,reverse-complement,362,17102069.0
Go,reverse-complement,365,16776141.0
Go,reverse-complement,365,16851398.0
Go,reverse-complement,363,17154069.0
Go,reverse-complement,364,17178545.0
Go,reverse-complement,362,16770954.0
Go,reverse-complement,361,17118364.0
Go,reverse-complement,362,16686481.0
Go,reverse-complement,360,16485737.0
Go,reverse-complement,360,16651631.0
Go,spectral-norm,358,30584943.0
Go,spectral-norm,359,30587568.0
Go,spectral-norm,359,30893720.0
Go,spectral-norm,358,30227828.0
Go,spectral-norm,358,30688032.0
Go,spectral-norm,359,30392195.0
Go,spectral-norm,358,30663069.0
Go,spectral-norm,359,30463667.0
Go,spectral-norm,358,30488386.0
Go,spectral-norm,358,30648481.0
Go,spectral-norm,358,30615948.0
Java,binary-trees,1749,184299699.0
Java,binary-trees,1747,184189896.0
Java,binary-trees,1761,189577701.0
Java,binary-trees,1748,188304694.0
Java,binary-trees,1746,184521073.0
Java,binary-trees,1732,183825579.0
Java,binary-trees,1819,195841478.0
Java,binary-trees,1767,182111044.0
Java,binary-trees,1753,183920121.0
Java,binary-trees,1738,184510392.0
Java,binary-trees,1817,198570781.0
Java,fasta,931,68791511.0
Java,fasta,913,68913337.0
Java,fasta,934,67836863.0
Java,fasta,917,68676399.0
Java,fasta,911,67988840.0
Java,fasta,906,68643500.0
Java,fasta,911,69363165.0
Java,fasta,914,69565374.0
Java,fasta,911,69633734.0
Java,fasta,931,67839853.0
Java,fasta,916,68910102.0
Java,mandelbrot,829,100229601.0
Java,mandelbrot,816,98657767.0
Java,mandelbrot,849,103891824.0
Java,mandelbrot,819,100478319.0
Java,mandelbrot,823,99752063.0
Java,mandelbrot,805,97813287.0
Java,mandelbrot,816,100060902.0
Java,mandelbrot,812,98721916.0
Java,mandelbrot,792,96221617.0
Java,mandelbrot,825,100225818.0
Java,mandelbrot,834,101742903.0
Java,n-body,3701,127973672.0
Java,n-body,3722,127655985.0
Java,n-body,3715,129340795.0
Java,n-body,3712,126680952.0
Java,n-body,3743,128105446.0
Java,n-body,3691,127448160.0
Java,n-body,3703,128654333.0
Java,n-body,3743,128386879.0
Java,n-body,3743,124195482.0
Java,n-body,3741,129304539.0
Java,n-body,3730,126580731.0
Java,reverse-complement,549,32808509.0
Java,reverse-complement,541,33480687.0
Java,reverse-complement,587,32160867.0
Java,reverse-complement,537,32795693.0
Java,reverse-complement,548,32268961.0
Java,reverse-complement,543,32855323.0
Java,reverse-complement,554,32949623.0
Java,reverse-complement,582,32702676.0
Java,reverse-complement,569,31884623.0
Java,reverse-complement,539,33202613.0
Java,reverse-complement,535,33393897.0
Java,spectral-norm,581,49300717.0
