"","language","estimate","p_value","cpu"
"1","C",0.939112367807312,2.98871673551926e-26,"i78700"
"2","CSharp",0.749765539067991,4.28349743184224e-17,"i78700"
"3","Erlang",0.758856981167892,1.07752991702901e-17,"i78700"
"4","FSharp",0.699720158855326,3.33698988624198e-14,"i78700"
"5","Fortran",0.964943051505658,6.79417941259424e-39,"i78700"
"6","Go",0.925064231584639,6.44476603288688e-38,"i78700"
"7","JRuby",0.998608574689136,1.08165331399057e-111,"i78700"
"8","Java",0.732287702021919,3.79613428583206e-14,"i78700"
"9","JavaScript",0.876956108157874,4.16955948171128e-29,"i78700"
"10","Lisp",0.933294479203717,4.30877734707914e-35,"i78700"
"11","Lua",0.995007333000878,7.2688820945818e-88,"i78700"
"12","PHP",0.724142142995335,1.55363070713246e-15,"i78700"
"13","Perl",0.770788928984308,1.60134727533904e-18,"i78700"
"14","Python",0.764586994006818,4.37444204840667e-18,"i78700"
"15","Racket",0.709703413389185,9.89488786374888e-15,"i78700"
"16","Rust",0.912213966941054,1.71601199263857e-26,"i78700"
"17","TypeScript",0.984640673733011,5.6796278298227e-67,"i78700"
"18","C",0.99846532553217,2.73078729203896e-68,"n150"
"19","CSharp",0.975952106071127,1.11802843440546e-58,"n150"
"20","Erlang",0.982986741839085,4.45987398527127e-65,"n150"
"21","FSharp",0.991506697574887,5.65141666756849e-78,"n150"
"22","Fortran",0.997182424294478,1.01795452561105e-73,"n150"
"23","Go",0.996191825019028,6.5248696829175e-93,"n150"
"24","JRuby",0.99981767527499,1.23723577686531e-149,"n150"
"25","Java",0.994042615289215,5.89002468857874e-74,"n150"
"26","JavaScript",0.990230624521883,2.2631487160505e-75,"n150"
"27","Lisp",0.99177217268711,1.02597565304052e-68,"n150"
"28","Lua",0.999484152288376,3.24746725183832e-130,"n150"
"29","PHP",0.977793260222177,3.78076642586416e-60,"n150"
"30","Perl",0.980312799117054,2.24557573481353e-62,"n150"
"31","Python",0.974180376049556,2.29089026881906e-57,"n150"
"32","Racket",0.981210185753953,3.07720467202216e-63,"n150"
"33","Rust",0.985016251209001,1.41845118314133e-50,"n150"
"34","TypeScript",0.998418902955616,2.62323588804108e-109,"n150"
"35","C",0.992945023791537,9.17221154171533e-51,"epyc1"
"36","CSharp",0.998081544684791,1.06545206609119e-105,"epyc1"
"37","Erlang",0.996710226375476,1.22042831027661e-95,"epyc1"
"38","FSharp",0.99608084904812,2.23877275466506e-92,"epyc1"
"39","Fortran",0.999849956582542,1.85385772203549e-114,"epyc1"
"40","Go",0.983837857661422,4.99529177668384e-66,"epyc1"
"41","JRuby",0.84352140648509,6.16293372135346e-25,"epyc1"
"42","Java",0.884396650088064,1.56714886676935e-26,"epyc1"
"43","JavaScript",0.99599335196095,5.77516488681059e-92,"epyc1"
"44","Lisp",0.996616233007341,3.78407547895413e-83,"epyc1"
"45","Lua",0.871343556804011,2.51099216803536e-28,"epyc1"
"46","PHP",0.997820686007869,2.54703991624961e-103,"epyc1"
"47","Perl",0.994109738589073,8.72833156608291e-85,"epyc1"
"48","Python",0.998153100737247,2.08117029636989e-106,"epyc1"
"49","Racket",0.998489882818118,3.64511891259334e-110,"epyc1"
"50","Rust",0.967243459657518,8.01977436070063e-40,"epyc1"
"51","TypeScript",0.998560232149292,4.69307551084848e-111,"epyc1"
"52","C",0.994723097019175,4.26484510172469e-54,"epyc2"
"53","CSharp",0.997095829450404,5.77785490135523e-98,"epyc2"
"54","Erlang",0.997333198241586,1.4843474731176e-99,"epyc2"
"55","FSharp",0.996540781045641,1.05418588653751e-94,"epyc2"
"56","Fortran",0.999781745714995,2.9888059895554e-109,"epyc2"
